Site,1,2,3,4,5,6,7,8
K7a,1,1,0,0,0,0,0,0
K7b,0,0,0,0,0,1,1,1
K7c,0,0,0,0,0,0,0,0
K7d,1,1,1,1,1,1,0,0
F5a,1,0,1,1,1,1,1,1
F5b,1,1,0,1,1,1,1,0
F5c,1,0,0,0,1,1,0,1
F5d,0,1,1,1,1,1,1,1
G5a,1,1,1,1,1,1,1,0
G5c,1,1,0,0,1,0,1,1
K8a,0,0,0,0,0,0,0,0
K8b,0,0,0,0,0,0,1,0
K8c,0,0,0,0,0,0,0,0
K8d,0,0,0,0,0,0,0,0
L7a,1,1,1,1,1,1,1,1
L7b,1,1,0,1,0,1,1,1
L7c,1,1,0,0,1,0,0,0
L7d,1,1,0,1,0,0,1,1
L8a,1,1,1,0,1,1,1,1
L8b,1,1,1,1,0,1,1,1
L8c,0,0,0,0,0,0,1,1
L8d,1,1,1,1,1,1,1,1
O8a,0,1,0,0,0,1,0,0
O8b,0,1,1,0,0,0,1,0
O8c,1,0,0,0,0,0,0,0
J7a,1,1,0,1,1,0,0,0
J7b,1,0,0,0,0,0,0,0
J7c,0,0,0,0,0,0,0,0
J7d,0,1,0,0,0,0,0,1
M7a,0,0,0,1,0,1,1,1
M7b,1,0,0,0,0,1,1,0
M7c,1,0,0,0,1,0,0,0
M7d,1,0,0,0,0,0,0,1
M8a,1,0,0,0,0,1,0,0
M8b,1,0,0,0,0,0,0,1
M8c,1,0,0,1,0,1,1,1
M8d,1,0,1,0,0,0,0,0
N8a,0,1,1,0,0,1,0,0
N8b,1,1,0,1,0,0,0,0
N8c,1,1,1,0,0,0,0,0
N8d,0,0,0,1,1,1,1,0
D3a,0,0,1,0,0,0,0,0
D3b,0,1,0,0,0,0,1,0
D3c,0,0,0,0,0,0,0,0
D3d,0,0,0,0,0,0,0,0
O3a,0,0,1,0,0,0,0,0
O3b,0,1,0,0,0,0,1,0
O3c,1,0,1,1,1,0,1,1
O3d,0,1,1,0,0,0,0,0
N2c,0,1,1,0,1,0,0,0
N2d,1,1,1,1,1,1,1,1
J2a,1,0,0,1,0,0,1,0
J2b,1,0,0,0,0,1,0,0
J2c,0,0,0,0,1,1,0,1
J2d,0,1,0,1,1,0,0,0
J3a,1,0,1,0,0,1,1,0
J3b,1,0,0,0,0,1,0,0
J3c,0,0,0,0,0,1,0,0
J3d,1,1,0,1,1,1,0,1
L4a,0,0,0,1,1,1,1,1
L4c,1,0,0,0,0,0,0,0
L4d,0,1,0,0,1,1,0,0
J5a,1,1,1,1,0,1,1,1
J5b,1,1,1,1,1,1,1,1
J5c,1,0,0,1,1,0,1,1
J5d,1,0,0,1,1,1,1,1
M6a,1,1,1,1,1,1,1,1
M6b,1,1,1,1,0,0,0,0
M6c,0,0,0,0,0,0,0,0
M6d,0,0,0,0,0,0,0,0
M2a,1,1,0,1,0,0,1,0
M2b,0,0,0,0,1,1,1,0
M2c,1,1,1,0,0,1,1,0
M2d,1,1,1,0,0,0,0,0
M3a,1,0,0,0,0,0,1,1
M3b,0,1,0,0,1,0,0,1
M3c,0,0,0,1,0,0,1,1
M3d,0,0,0,1,1,0,0,0
C3b,0,0,0,0,0,0,0,0
K4b,0,0,1,1,0,0,1,1
K4d,0,0,0,0,0,0,0,0
B2b,0,0,0,0,0,1,0,0
B2d,0,0,1,0,0,0,0,0
F3c,0,0,0,0,0,0,0,0
E5b,0,1,0,0,0,0,0,0
E5c,0,0,0,0,0,0,0,0
E5d,0,0,0,0,0,0,0,0
E7a,1,0,1,0,0,0,0,1
E7b,1,1,0,1,0,1,0,1
E7c,1,1,0,1,0,0,0,1
E7d,1,1,1,1,1,1,1,0
F4a,0,0,0,0,0,1,0,1
F4b,0,0,0,1,1,1,1,0
F4c,0,1,1,0,1,1,0,1
F4d,0,0,1,1,1,1,0,1
F7a,1,1,1,0,0,1,1,1
F7b,1,1,1,1,1,1,1,1
F7c,1,1,0,0,1,1,1,1
F7d,1,1,1,1,1,1,1,1
G4a,1,1,1,1,1,1,1,0
G4c,1,0,0,0,0,0,0,0
G7a,1,1,1,1,1,1,0,1
G7b,1,1,1,1,1,1,1,0
G7c,1,1,1,1,1,0,1,1
G7d,1,0,1,1,0,0,1,1
H3c,1,0,1,1,1,0,0,0
H3d,0,0,0,0,1,0,1,1
H4a,1,0,0,1,1,1,1,1
H4b,1,0,0,1,0,1,0,1
H4c,1,1,1,1,1,1,1,0
