Tor,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,Habitat
1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,Pasture
2,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
3,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,Pasture
4,0,-,-,0,-,-,0,-,-,0,0,-,0,-,-,Pasture
5,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
6,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
7,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
8,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
9,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
10,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
11,0,-,-,-,-,-,-,-,-,-,-,-,0,-,-,Pasture
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
13,0,-,-,1,-,-,0,-,-,1,-,-,1,-,-,Pasture
14,0,-,-,0,-,-,0,-,-,0,-,-,0,0,-,Pasture
15,1,-,-,1,-,-,1,-,-,0,-,-,0,0,-,Pasture
16,1,-,-,1,-,-,1,-,-,0,-,-,0,0,-,Pasture
17,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
18,0,-,-,0,-,-,0,0,-,0,-,-,0,-,-,Pasture
19,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
20,0,0,-,0,-,-,0,-,-,0,-,-,0,0,-,Pasture
21,1,-,-,1,-,-,0,1,-,0,0,-,0,-,-,Pasture
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,Pasture
23,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,Pasture
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasture
26,0,-,-,0,-,-,0,0,-,0,-,-,0,0,-,Pasture
