# Capture histories exported from 'captdata' 
# Sun Oct 31 20:31:07 2010 
# Session ID Occasion Detector
1 6 1 89
1 7 1 94
1 20 1 66
1 62 1 79
1 66 1 91
1 91 1 5
1 104 1 80
1 119 1 57
1 128 1 90
1 138 1 60
1 156 1 84
1 168 1 85
1 170 1 48
1 178 1 12
1 183 1 11
1 185 1 33
1 192 1 1
1 210 1 93
1 223 1 16
1 230 1 32
1 241 1 62
1 245 1 35
1 251 1 87
1 254 1 63
1 260 1 64
1 270 1 7
1 278 1 52
1 282 1 49
1 289 1 99
1 304 1 100
1 319 1 42
1 327 1 23
1 340 1 68
1 354 1 26
1 409 1 9
1 419 1 70
1 430 1 73
1 433 1 55
1 434 1 56
1 437 1 50
1 441 1 95
1 445 1 34
1 450 1 96
1 460 1 2
1 463 1 71
1 466 1 46
1 470 1 47
1 496 1 27
1 1 2 9
1 7 2 77
1 20 2 35
1 31 2 5
1 80 2 11
1 91 2 7
1 104 2 79
1 114 2 86
1 119 2 46
1 124 2 1
1 128 2 69
1 138 2 80
1 149 2 10
1 168 2 84
1 170 2 59
1 178 2 21
1 185 2 53
1 210 2 83
1 230 2 32
1 252 2 88
1 260 2 51
1 270 2 6
1 278 2 41
1 282 2 49
1 289 2 100
1 304 2 99
1 319 2 33
1 320 2 61
1 325 2 3
1 327 2 44
1 340 2 76
1 341 2 82
1 354 2 16
1 366 2 68
1 383 2 74
1 384 2 81
1 419 2 70
1 433 2 64
1 434 2 58
1 445 2 24
1 450 2 96
1 460 2 4
1 463 2 71
1 470 2 26
1 477 2 98
1 496 2 38
1 6 3 90
1 7 3 77
1 24 3 38
1 31 3 5
1 47 3 8
1 66 3 92
1 104 3 88
1 114 3 83
1 119 3 55
1 128 3 59
1 133 3 71
1 138 3 60
1 185 3 33
1 210 3 73
1 223 3 7
1 241 3 62
1 245 3 54
1 251 3 99
1 252 3 89
1 254 3 35
1 260 3 63
1 277 3 2
1 278 3 41
1 282 3 57
1 319 3 31
1 320 3 72
1 327 3 24
1 340 3 67
1 354 3 6
1 366 3 58
1 383 3 53
1 384 3 81
1 405 3 91
1 409 3 10
1 419 3 70
1 425 3 93
1 430 3 84
1 434 3 79
1 437 3 40
1 441 3 85
1 445 3 36
1 450 3 86
1 460 3 12
1 463 3 51
1 470 3 37
1 477 3 98
1 496 3 28
1 6 4 100
1 7 4 85
1 20 4 55
1 24 4 39
1 31 4 26
1 47 4 9
1 66 4 82
1 102 4 1
1 104 4 69
1 114 4 86
1 119 4 57
1 128 4 79
1 167 4 40
1 170 4 68
1 181 4 49
1 185 4 51
1 223 4 5
1 241 4 61
1 245 4 44
1 251 4 87
1 252 4 98
1 254 4 35
1 260 4 64
1 270 4 15
1 277 4 3
1 278 4 41
1 282 4 48
1 304 4 99
1 315 4 7
1 319 4 43
1 320 4 63
1 325 4 11
1 327 4 32
1 354 4 6
1 366 4 59
1 383 4 73
1 384 4 81
1 419 4 70
1 430 4 94
1 445 4 14
1 450 4 97
1 460 4 12
1 463 4 72
1 470 4 47
1 475 4 95
1 484 4 90
1 496 4 36
1 6 5 88
1 7 5 87
1 20 5 46
1 24 5 40
1 47 5 8
1 91 5 27
1 102 5 1
1 104 5 80
1 114 5 84
1 119 5 36
1 128 5 79
1 181 5 49
1 185 5 54
1 201 5 10
1 210 5 92
1 230 5 23
1 233 5 20
1 241 5 31
1 245 5 45
1 251 5 98
1 254 5 44
1 260 5 53
1 278 5 43
1 282 5 48
1 304 5 90
1 319 5 12
1 320 5 52
1 325 5 11
1 327 5 25
1 340 5 68
1 354 5 6
1 366 5 89
1 383 5 64
1 384 5 93
1 409 5 9
1 419 5 69
1 430 5 83
1 433 5 73
1 434 5 38
1 441 5 86
1 445 5 5
1 450 5 78
1 460 5 2
1 466 5 57
1 470 5 26
1 475 5 94
1 496 5 16
