tag,1,2,3,4,5
AA01,1,0,1,0,1
AA02,1,0,0,0,0
AA03,1,1,0,0,1
AA04,1,0,0,0,0
AA05,1,1,0,1,1
AA06,1,0,0,1,0
AA07,1,0,0,1,0
AA08,1,1,0,0,0
AA09,1,1,0,0,0
AA10,1,1,0,1,0
AA11,1,1,0,0,0
AA12,1,0,1,0,0
AA13,1,0,1,0,0
AA14,1,1,1,1,1
AA15,1,1,0,0,0
AA16,1,1,0,0,1
AA17,1,0,0,0,0
AA18,1,0,1,0,0
AA19,1,0,0,0,0
AA20,1,0,0,0,0
AA21,0,1,0,0,0
AA22,0,1,0,0,0
AA23,0,1,1,0,0
AA24,0,1,0,0,0
AA25,0,1,0,0,0
AA26,0,1,0,0,0
AA27,0,1,0,0,0
AA28,0,1,0,1,1
AA29,0,0,1,0,0
AA30,0,0,1,0,0
AA31,0,0,1,0,0
AA32,0,0,1,0,1
AA33,0,0,1,0,1
AA34,0,0,1,0,0
AA35,0,0,1,1,1
AA36,0,0,1,0,0
AA37,0,0,1,1,0
AA38,0,0,1,0,0
AA39,0,0,1,0,0
AA40,0,0,1,0,0
AA41,0,0,0,1,0
AA42,0,0,0,1,0
AA43,0,0,0,1,1
AA44,0,0,0,1,0
AA45,0,0,0,1,1
AA46,0,0,0,1,0
AA47,0,0,0,1,0
AA48,0,0,0,1,0
AA49,0,0,0,0,1
AA50,0,0,0,0,1
AA51,0,0,0,0,1
AA52,0,0,0,0,1
AA53,0,0,0,0,1
AA54,0,0,0,0,1
AA55,0,0,0,0,1
AA56,0,0,0,0,1
AA57,0,0,0,0,1
